yearBuilt,url,longitude,homeStatus,real estate provider,paymentPeriod,isListed,relaxed,postal_code,title,address,facts and features,currency,commute,price,latitude,city,homeType,state,bedrooms,bathrooms,area
-1,https://www.zillow.com/homedetails/122-Corbin-Ave-Jersey-City-NJ-07306/2080933908_zpid/,-74.069763,FOR_RENT,,,,False,07306,Townhouse for rent,"122 Corbin Ave, Jersey City, NJ 07306","1 bds, 1.0 ba ,None sqft",USD,,"$1,000/mo",40.73465,Jersey City,TOWNHOUSE,NJ,1,1.0,
,https://www.zillow.com/b/journal-squared-jersey-city-nj-974G9w/,-74.061541,,,,,False,,Journal Squared,"615 Pavonia Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.732578,,,,,,
-1,https://www.zillow.com/homedetails/221-Beacon-Ave-2-Jersey-City-NJ-07306/2080934473_zpid/,-74.059548,FOR_RENT,,,,False,07306,Apartment for rent,"221 Beacon Ave # 2, Jersey City, NJ 07306","4 bds, 2.0 ba ,None sqft",USD,,"$2,500/mo",40.738973,Jersey City,APARTMENT,NJ,4,2.0,
,https://www.zillow.com/b/201-saint-pauls-ave-jersey-city-nj-5Xm4Q6/,-74.060251,,,,,False,,For Rent,"201 Saint Pauls Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.736959,,,,,,
-1,https://www.zillow.com/homedetails/11-Bryant-Ave-1-Jersey-City-NJ-07306/2091577950_zpid/,-74.076021,FOR_RENT,,,,False,07306,Apartment for rent,"11 Bryant Ave # 1, Jersey City, NJ 07306","3 bds, 1.0 ba ,1250 sqft",USD,,$620/mo,40.732496,Jersey City,APARTMENT,NJ,3,1.0,1250
-1,https://www.zillow.com/homedetails/33-Dey-St-Jersey-City-NJ-07306/2080936607_zpid/,-74.066856,FOR_RENT,,,,False,07306,Apartment for rent,"33 Dey St, Jersey City, NJ 07306","1 bds, 1.0 ba ,658 sqft",USD,,"$2,205/mo",40.737696,Jersey City,APARTMENT,NJ,1,1.0,658
-1,https://www.zillow.com/homedetails/Academy-St-Jersey-City-NJ-07306/2080936824_zpid/,-74.06358,FOR_RENT,,,,False,07306,Apartment for rent,"Academy St, Jersey City, NJ 07306","1 bds, 1.0 ba ,600 sqft",USD,,"$1,475/mo",40.72772,Jersey City,APARTMENT,NJ,1,1.0,600
-1,https://www.zillow.com/homedetails/316-Hoboken-Ave-2-Jersey-City-NJ-07306/2122988541_zpid/,-74.053305,FOR_RENT,,,,False,07306,Apartment for rent,"316 Hoboken Ave # 2, Jersey City, NJ 07306","2 bds, 1.0 ba ,600 sqft",USD,,"$1,750/mo",40.732709,Jersey City,APARTMENT,NJ,2,1.0,600
,https://www.zillow.com/b/312-academy-st-jersey-city-nj-974DvW/,-74.066834,,,,,False,,For Rent,"312 Academy St, Jersey City, NJ"," bds,  ba , sqft",,,,40.730294,,,,,,
-1,https://www.zillow.com/homedetails/742-Bergen-Ave-3-Jersey-City-NJ-07306/2080940571_zpid/,-74.068296,FOR_RENT,,,,False,07306,Apartment for rent,"742 Bergen Ave # 3, Jersey City, NJ 07306","3 bds, 1.0 ba ,None sqft",USD,,"$2,300/mo",40.724932,Jersey City,APARTMENT,NJ,3,1.0,
-1,https://www.zillow.com/homedetails/239-Liberty-Ave-APT-3L-Jersey-City-NJ-07306/2108996632_zpid/,-74.060476,FOR_RENT,,,,False,07306,Apartment for rent,"239 Liberty Ave, 2 BD - 1 B BA","2 bds, 1.0 ba ,773 sqft",USD,,"$1,795/mo",40.745255,Jersey City,APARTMENT,NJ,2,1.0,773
-1,https://www.zillow.com/homedetails/55-Corbin-Ave-APT-23-Jersey-City-NJ-07306/2080946165_zpid/,-74.071743,FOR_RENT,,,,False,07306,Apartment for rent,"55 Corbin Ave APT 23, Jersey City, NJ 07306","1 bds, 1.0 ba ,None sqft",USD,,"$1,350/mo",40.732427,Jersey City,APARTMENT,NJ,1,1.0,
-1,https://www.zillow.com/homedetails/117-Magnolia-Ave-1-Jersey-City-NJ-07306/2080946660_zpid/,-74.059211,FOR_RENT,,,,False,07306,Apartment for rent,"117 Magnolia Ave # 1, Jersey City, NJ 07306","1 bds, 1.0 ba ,None sqft",USD,,"$1,725/mo",40.731148,Jersey City,APARTMENT,NJ,1,1.0,
,https://www.zillow.com/b/85-romaine-ave-jersey-city-nj-5fsGt9/,-74.069421,,,,,False,,For Rent,"85 Romaine Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.732876,,,,,,
,https://www.zillow.com/b/42-vroom-street-jersey-city-nj-5XtTgy/,-74.063382,,,,,False,,42 Vroom Street,"42 Vroom St, Jersey City, NJ"," bds,  ba , sqft",,,,40.726626,,,,,,
-1,https://www.zillow.com/homedetails/2860-John-F-Kennedy-Blvd-804-Jersey-City-NJ-07306/2080952044_zpid/,-74.065408,FOR_RENT,,,,False,07306,Apartment for rent,"2860 John F Kennedy Blvd # 804, Jersey City, NJ 07306","0 bds, 1.0 ba ,500 sqft",USD,,"$1,516/mo",40.731661,Jersey City,APARTMENT,NJ,0,1.0,500
2004,https://www.zillow.com/homedetails/9-Saint-Pauls-Ave-Jersey-City-NJ-07306/38891582_zpid/,-74.051661,FOR_RENT,,,,False,07306,Apartment for rent,"9 Saint Pauls Ave, Jersey City, NJ 07306","2 bds, 1.0 ba ,3900 sqft",USD,,"$2,000/mo",40.733502,Jersey City,APARTMENT,NJ,2,1.0,3900
,https://www.zillow.com/b/64-tuers-ave-jersey-city-nj-974GGD/,-74.065542,,,,,False,,For Rent,"64 Tuers Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.72693,,,,,,
-1,https://www.zillow.com/homedetails/319-Fairmount-Ave-APT-8-Jersey-City-NJ-07306/2080958073_zpid/,-74.070604,FOR_RENT,,,,False,07306,Apartment for rent,"319 Fairmount Ave APT 8, Jersey City, NJ 07306","2 bds, 1.0 ba ,None sqft",USD,,"$1,554/mo",40.725201,Jersey City,MULTI_FAMILY,NJ,2,1.0,
-1,https://www.zillow.com/homedetails/557-Pavonia-Ave-1-Jersey-City-NJ-07306/2084552938_zpid/,-74.058834,FOR_RENT,,,,False,07306,Apartment for rent,"557 Pavonia Ave # 1, Jersey City, NJ 07306","1 bds, 1.0 ba ,600 sqft",USD,,"$1,699/mo",40.73164,Jersey City,APARTMENT,NJ,1,1.0,600
-1,https://www.zillow.com/homedetails/John-F-Kennedy-Blvd-Jersey-City-NJ-07306/2081075751_zpid/,-74.06858,FOR_RENT,,,,False,07306,Apartment for rent,"John F Kennedy Blvd, Jersey City, NJ 07306","4 bds, 1.0 ba ,2218 sqft",USD,,"$2,695/mo",40.73023,Jersey City,APARTMENT,NJ,4,1.0,2218
-1,https://www.zillow.com/homedetails/82-Laidlaw-Ave-APT-2-Jersey-City-NJ-07306/2081145170_zpid/,-74.053234,FOR_RENT,,,,False,07306,Apartment for rent,"82 Laidlaw Ave APT 2, Jersey City, NJ 07306","1 bds, 1.0 ba ,750 sqft",USD,,"$1,050/mo",40.737379,Jersey City,APARTMENT,NJ,1,1.0,750
,https://www.zillow.com/b/195-plainfield-ave-jersey-city-nj-9W4TBn/,-74.081632,,,,,False,,For Rent,"195 Plainfield Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.72942,,,,,,
-1,https://www.zillow.com/homedetails/692-Summit-Ave-APT-2F-Jersey-City-NJ-07306/2101342639_zpid/,-74.058131,FOR_RENT,,,,False,07306,Apartment for rent,"692 Summit Ave APT 2F, Jersey City, NJ 07306","0 bds, 1.0 ba ,None sqft",USD,,"$1,300/mo",40.738563,Jersey City,APARTMENT,NJ,0,1.0,
-1,https://www.zillow.com/homedetails/135-Saint-Pauls-Ave-APT-3-Jersey-City-NJ-07306/2081018993_zpid/,-74.057092,FOR_RENT,,,,False,07306,Apartment for rent,"135 Saint Pauls Ave APT 3, Jersey City, NJ 07306","2 bds, 1.0 ba ,1000 sqft",USD,,"$1,650/mo",40.73637,Jersey City,APARTMENT,NJ,2,1.0,1000
,https://www.zillow.com/b/120-dekalb-ave-jersey-city-nj-9sbKZT/,-74.072076,,,,,False,,For Rent,"120 Dekalb Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.729828,,,,,,
,https://www.zillow.com/b/84-romaine-ave-jersey-city-nj-974GpM/,-74.069196,,,,,False,,For Rent,"84 Romaine Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.732763,,,,,,
-1,https://www.zillow.com/homedetails/677-Summit-Ave-APT-1L-Jersey-City-NJ-07306/2080967447_zpid/,-74.059073,FOR_RENT,,,,False,07306,Apartment for rent,"677 Summit Ave APT 1L, Jersey City, NJ 07306","1 bds, 1.0 ba ,528 sqft",USD,,"$1,400/mo",40.738141,Jersey City,APARTMENT,NJ,1,1.0,528
,https://www.zillow.com/b/11-van-reipen-ave-jersey-city-nj-974CFm/,-74.069387,,,,,False,,For Rent,"11 Van Reipen Avenue &, Jersey City, NJ"," bds,  ba , sqft",,,,40.7378,,,,,,
-1,https://www.zillow.com/homedetails/11-Van-Reipen-Ave-12-Jersey-City-NJ-07306/2080969376_zpid/,-74.060038,FOR_RENT,,,,False,07306,Apartment for rent,"11 Van Reipen Ave # 1&2, Jersey City, NJ 07306","3 bds, 1.0 ba ,None sqft",USD,,"$2,800/mo",40.733257,Jersey City,MULTI_FAMILY,NJ,3,1.0,
-1,https://www.zillow.com/homedetails/50-Dey-St-APT-448-Jersey-City-NJ-07306/108624400_zpid/,-74.068897,FOR_RENT,,,,False,07306,Condo for rent,"50 Dey St APT 448, Jersey City, NJ 07306","2 bds, 2.0 ba ,1281 sqft",USD,,"$3,300/mo",40.738999,Jersey City,CONDO,NJ,2,2.0,1281
,https://www.zillow.com/b/43-saint-pauls-ave-jersey-city-nj-974FSH/,-74.053099,,,,,False,,For Rent,"43 Saint Pauls Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.734262,,,,,,
-1,https://www.zillow.com/homedetails/88-Romaine-Ave-2G-Jersey-City-NJ-07306/2080973231_zpid/,-74.068861,FOR_RENT,,,,False,07306,Apartment for rent,"88 Romaine Ave # 2G, Jersey City, NJ 07306","2 bds, 1.0 ba ,None sqft",USD,,"$2,148/mo",40.732761,Jersey City,APARTMENT,NJ,2,1.0,
-1,https://www.zillow.com/homedetails/14-Dey-St-Jersey-City-NJ-07306/2080974575_zpid/,-74.067535,FOR_RENT,,,,False,07306,Apartment for rent,"14 Dey St, Jersey City, NJ 07306","2 bds, 2.0 ba ,958 sqft",USD,,"$2,895/mo",40.737917,Jersey City,APARTMENT,NJ,2,2.0,958
,https://www.zillow.com/b/1225-reserve-way-naples-fl-5Y7SNv/,-81.739016,,,,,False,,For Rent,"1225 Reserve Way, Naples, FL"," bds,  ba , sqft",,,,26.208301,,,,,,
2020,https://www.zillow.com/homedetails/475-Freeport-St-1-New-Kensington-PA-15068/2080922739_zpid/,-79.762164,FOR_RENT,,,,False,15068,Apartment for rent,"475 Freeport St # 1, New Kensington, PA 15068","1 bds, 1.0 ba ,None sqft",USD,,$668/mo,40.559113,New Kensington,APARTMENT,PA,1,1.0,
,https://www.zillow.com/b/trinity-club-apartments-trinity-fl-5XtNjC/,-82.634976,,,,,False,,Trinity Club Apartments,"10800 Torino Dr, Trinity, FL"," bds,  ba , sqft",,,,28.188623,,,,,,
2002,https://www.zillow.com/homedetails/1835-Arctic-Ct-Laredo-TX-78045/60869224_zpid/,-99.461986,FOR_RENT,,,,False,78045,House for rent,"1835 Arctic Ct, Laredo, TX 78045","3 bds, 2.0 ba ,1292 sqft",USD,,"$1,400/mo",27.601656,Laredo,SINGLE_FAMILY,TX,3,2.0,1292
1977,https://www.zillow.com/homedetails/1724-Indian-River-Dr-STE-B-Sebastian-FL-32958/2080922746_zpid/,-80.474388,FOR_RENT,,,,False,32958,Condo for rent,"1724 Indian River Dr STE B, Sebastian, FL 32958","2 bds, 1.5 ba ,None sqft",USD,,"$2,200/mo",27.828648,Sebastian,CONDO,FL,2,1.5,
1960,https://www.zillow.com/homedetails/276-Woodland-Dr-Humboldt-TN-38343/41308800_zpid/,-88.901571,FOR_RENT,,,,False,38343,House for rent,"276 Woodland Dr, Humboldt, TN 38343","3 bds, 2.0 ba ,1786 sqft",USD,,$950/mo,35.821231,Humboldt,SINGLE_FAMILY,TN,3,2.0,1786
2018,https://www.zillow.com/homedetails/106-Chard-Pvt-Ln-Spring-Hill-TN-37174/247623178_zpid/,-86.912619,FOR_RENT,,,,False,37174,House for rent,"106 Chard Pvt Ln, Spring Hill, TN 37174","2 bds, 2.5 ba ,1275 sqft",USD,,"$1,400/mo",35.766846,Spring Hill,SINGLE_FAMILY,TN,2,2.5,1275
2003,https://www.zillow.com/homedetails/357-Ashlee-Ct-Mountain-House-CA-95391/61349230_zpid/,-121.53942,FOR_RENT,,,,False,95391,House for rent,"357 Ashlee Ct, Mountain House, CA 95391","4 bds, 3.0 ba ,3500 sqft",USD,,"$3,295/mo",37.767606,Mountain House,SINGLE_FAMILY,CA,4,3.0,3500
-1,https://www.zillow.com/homedetails/Long-Spur-Littleton-CO-80127/2080922744_zpid/,-105.16542,FOR_RENT,,,,False,80127,House for rent,"Long Spur, Littleton, CO 80127","4 bds, 3.0 ba ,2385 sqft",USD,,"$2,900/mo",39.5851,Littleton,SINGLE_FAMILY,CO,4,3.0,2385
1887,https://www.zillow.com/homedetails/101-Fairground-Ave-Dayton-OH-45409/35082296_zpid/,-84.184532,FOR_RENT,,,,False,45409,House for rent,"101 Fairground Ave, Dayton, OH 45409","3 bds, 3.0 ba ,1696 sqft",USD,,"$3,000/mo",39.742635,Dayton,SINGLE_FAMILY,OH,3,3.0,1696
1972,https://www.zillow.com/homedetails/5110-Woodmark-Dr-Fort-Wayne-IN-46815/73172017_zpid/,-85.075791,FOR_RENT,,,,False,46815,Apartment for rent,"5110 Woodmark Dr, Fort Wayne, IN 46815","2 bds, 1.0 ba ,924 sqft",USD,,$825/mo,41.109453,Fort Wayne,APARTMENT,IN,2,1.0,924
,https://www.zillow.com/b/235-w-van-buren-street-chicago-il-Ck2r/,-87.634643,,,,,False,,235 W Van Buren Street,"235 W Van Buren St, Chicago, IL"," bds,  ba , sqft",,,,41.87659,,,,,,
-1,https://www.zillow.com/homedetails/Gordon-St-Brighton-MA-02135/2080922741_zpid/,-71.13974,FOR_RENT,,,,False,02135,Apartment for rent,"Gordon St, Brighton, MA 02135","4 bds, 2.0 ba ,None sqft",USD,,"$3,000/mo",42.34898,Brighton,APARTMENT,MA,4,2.0,
1914,https://www.zillow.com/homedetails/1217-Grand-Ave-Saint-Paul-MN-55105/2041749_zpid/,-93.151463,FOR_RENT,,,,False,55105,Apartment for rent,"1217 Grand Ave, Saint Paul, MN 55105","2 bds, 1.0 ba ,1200 sqft",USD,,"$1,100/mo",44.94034,Saint Paul,APARTMENT,MN,2,1.0,1200
1972,https://www.zillow.com/homedetails/3622-159th-Street-Ct-E-Tacoma-WA-98446/2094293017_zpid/,-122.379664,FOR_RENT,,,,False,98446,Townhouse for rent,"3622 159th Street Ct E, Tacoma, WA 98446","2 bds, 1.0 ba ,950 sqft",USD,,"$1,395/mo",47.11225,Tacoma,TOWNHOUSE,WA,2,1.0,950
,https://www.zillow.com/b/stillwater-palms-palm-harbor-fl-5Xhz79/,-82.742607,,,,,False,,Stillwater Palms,"2350 Cypress Pond Rd, Palm Harbor, FL"," bds,  ba , sqft",,,,28.114096,,,,,,
,https://www.zillow.com/b/waterwall-place-houston-tx-5Z7HpX/,-95.462237,,,,,False,,WaterWall Place,"2801 Waterwall Dr, Houston, TX"," bds,  ba , sqft",,,,29.736026,,,,,,
1977,https://www.zillow.com/homedetails/370-S-Freeman-Rd-Tucson-AZ-85748/8586924_zpid/,-110.739154,FOR_RENT,,,,False,85748,House for rent,"370 S Freeman Rd, Tucson, AZ 85748","4 bds, 4.0 ba ,2737 sqft",USD,,"$3,250/mo",32.216647,Tucson,SINGLE_FAMILY,AZ,4,4.0,2737
2012,https://www.zillow.com/homedetails/615-E-Weber-Dr-UNIT-2033-Tempe-AZ-85281/95151473_zpid/,-111.930356,FOR_RENT,,,,False,85281,Apartment for rent,"Camden Sotelo, Sable","2 bds, 2.0 ba ,1212 sqft",USD,,"$1,609/mo",33.442144,Tempe,APARTMENT,AZ,2,2.0,1212
1986,https://www.zillow.com/homedetails/24317-Bridle-Trail-Rd-A-Hidden-Hills-CA-91302/2080922747_zpid/,-118.658368,FOR_RENT,,,,False,91302,Condo for rent,"24317 Bridle Trail Rd # A, Hidden Hills, CA 91302","1 bds, 1.0 ba ,700 sqft",USD,,"$3,350/mo",34.161172,Hidden Hills,CONDO,CA,1,1.0,700
,https://www.zillow.com/b/950-7-hills-drive-henderson-nv-5XjzFB/,-115.120535,,,,,False,,950 7 Hills Drive,"950 Seven Hills Dr, Henderson, NV"," bds,  ba , sqft",,,,35.994903,,,,,,
1993,https://www.zillow.com/homedetails/102-Comstock-Dr-Colonial-Heights-VA-23834/79093627_zpid/,-77.368953,FOR_RENT,,,,False,23834,House for rent,"102 Comstock Dr, Colonial Heights, VA 23834","5 bds, 4.5 ba ,3200 sqft",USD,,"$2,250/mo",37.287404,Colonial Heights,SINGLE_FAMILY,VA,5,4.5,3200
,https://www.zillow.com/b/park-at-pentagon-row-arlington-va-5Xhv6m/,-77.060322,,,,,False,,Park at Pentagon Row,"801 15th St S, Arlington, VA"," bds,  ba , sqft",,,,38.861042,,,,,,
,https://www.zillow.com/b/the-elms-at-stoney-run-village-hanover-md-5XhvPP/,-76.725497,,,,,False,,The Elms at Stoney Run Village,"7581 Stoney Run Dr, Hanover, MD"," bds,  ba , sqft",,,,39.15023,,,,,,
-1,https://www.zillow.com/homedetails/6155-60th-Pl-Maspeth-NY-11378/2080922750_zpid/,-73.905143,FOR_RENT,,,,False,11378,Apartment for rent,"6155 60th Pl, Maspeth, NY 11378","3 bds, 1.0 ba ,1375 sqft",USD,,"$2,650/mo",40.719532,Maspeth,APARTMENT,NY,3,1.0,1375
1959,https://www.zillow.com/homedetails/17-Hope-St-4C-Stamford-CT-06906/177228353_zpid/,-73.526267,FOR_RENT,,,,False,06906,Condo for rent,"17 Hope St # 4C, Stamford, CT 06906","1 bds, 1.0 ba ,885 sqft",USD,,"$1,795/mo",41.06132,Stamford,CONDO,CT,1,1.0,885
,https://www.zillow.com/b/33-west-davie-fl-5gDsHK/,-80.223647,,,,,False,,33 West,"6300 SW 24th Pl, Davie, FL"," bds,  ba , sqft",,,,26.089979,,,,,,
,https://www.zillow.com/b/camden-woodson-park-houston-tx-5Xhs4X/,-95.201941,,,,,False,,Camden Woodson Park,"14633 Woodson Park Dr, Houston, TX"," bds,  ba , sqft",,,,29.930224,,,,,,
,https://www.zillow.com/b/camden-creekstone-atlanta-ga-5XhtTN/,-84.307823,,,,,False,,Camden Creekstone,"1945 Savoy Dr, Atlanta, GA"," bds,  ba , sqft",,,,33.919697,,,,,,
1970,https://www.zillow.com/homedetails/5285-Double-Branches-Dr-Cumming-GA-30040/14619818_zpid/,-84.211677,FOR_RENT,,,,False,30040,House for rent,"5285 Double Branches Dr, Cumming, GA 30040","3 bds, 2.0 ba ,1344 sqft",USD,,"$1,600/mo",34.137886,Cumming,SINGLE_FAMILY,GA,3,2.0,1344
,https://www.zillow.com/b/jamboree-rancho-cucamonga-ca-5XjPfc/,-117.565845,,,,,False,,Jamboree,"10950 Church St, Rancho Cucamonga, CA"," bds,  ba , sqft",,,,34.111071,,,,,,
,https://www.zillow.com/b/homecoming-at-terra-vista-rancho-cucamonga-ca-5XjxXF/,-117.549636,,,,,False,,Homecoming At Terra Vista,"11660 Church St, Rancho Cucamonga, CA"," bds,  ba , sqft",,,,34.112636,,,,,,
2017,https://www.zillow.com/homedetails/1595-Campton-Rd-Inman-SC-29349/11772402_zpid/,-82.056099,FOR_RENT,,,,False,29349,House for rent,"1595 Campton Rd, Inman, SC 29349","3 bds, 2.0 ba ,1846 sqft",USD,,$975/mo,35.02938,Inman,SINGLE_FAMILY,SC,3,2.0,1846
,https://www.zillow.com/b/camden-reunion-park-apex-nc-5Xhyfy/,-78.80423,,,,,False,,Camden Reunion Park,"100 Reunion Park Dr, Apex, NC"," bds,  ba , sqft",,,,35.67898,,,,,,
,https://www.zillow.com/b/revolve-at-one-fifteen-overland-park-ks-BL4FDT/,-94.65993,,,,,False,,Revolve at One Fifteen,"11450 Lamar Ave, Overland Park, KS"," bds,  ba , sqft",,,,38.924444,,,,,,
,"https://www.zillow.com/b/3085-Brighton-13th-St-Brooklyn-NY/40.578222,-73.956457_ll/",-73.956457,,,,,False,,For Rent,"3085 Brighton 13th St, Brooklyn, NY"," bds,  ba , sqft",,,,40.578222,,,,,,
-1,https://www.zillow.com/homedetails/217th-St-Bayside-NY-11361/2080922753_zpid/,-73.7671,FOR_RENT,,,,False,11361,House for rent,"217th St, Bayside, NY 11361","0 bds, 1.0 ba ,550 sqft",USD,,"$1,250/mo",40.76907,Bayside,SINGLE_FAMILY,NY,0,1.0,550
,https://www.zillow.com/b/the-apartments-at-windbrooke-crossing-buffalo-grove-il-5XjN74/,-87.945982,,,,,False,,The Apartments at Windbrooke Crossing,"1160 Windbrooke Dr, Buffalo Grove, IL"," bds,  ba , sqft",,,,42.172651,,,,,,
,https://www.zillow.com/b/camden-san-marcos-scottsdale-az-5XhyVx/,-111.876158,,,,,False,,Camden San Marcos,"9595 E Thunderbird Rd, Scottsdale, AZ"," bds,  ba , sqft",,,,33.610574,,,,,,
,https://www.zillow.com/b/watermark-at-east-cobb-by-cortland-marietta-ga-5Xhtby/,-84.496408,,,,,False,,Watermark At East Cobb by Cortland,"2000 E Lake Pkwy, Marietta, GA"," bds,  ba , sqft",,,,33.965799,,,,,,
,https://www.zillow.com/b/ava-high-line-new-york-ny-4MH7/,-74.002588,,,,,False,,AVA High Line,"525 W 28th St, New York, NY"," bds,  ba , sqft",,,,40.751283,,,,,,
,https://www.zillow.com/b/800-sixth-apartments-new-york-ny-5Z5Nst/,-73.990859,,,,,False,,800 Sixth Apartments,"800 6th Ave, New York, NY"," bds,  ba , sqft",,,,40.745573,,,,,,
,https://www.zillow.com/b/avalon-west-chelsea-new-york-ny-26W5/,-74.00446,,,,,False,,Avalon West Chelsea,"282 11th Ave, New York, NY"," bds,  ba , sqft",,,,40.7521,,,,,,
-1,https://www.zillow.com/homedetails/247-W-26th-St-APT-5B-New-York-NY-10001/2080926690_zpid/,-73.996217,FOR_RENT,,,,False,10001,Apartment for rent,"247 W 26th St APT 5B, New York, NY 10001","1 bds, 1.0 ba ,500 sqft",USD,,"$2,500/mo",40.747067,New York,MULTI_FAMILY,NY,1,1.0,500
,https://www.zillow.com/b/435-w-31st-st-new-york-ny-B73Y66/,-73.99859,,,,,False,,For Rent,"435 W 31st St, New York, NY"," bds,  ba , sqft",,,,40.752139,,,,,,
,https://www.zillow.com/b/312-11th-ave-new-york-ny-26Wx/,-74.003973,,,,,False,,For Rent,"312 11th Ave, New York, NY"," bds,  ba , sqft",,,,40.75277,,,,,,
,https://www.zillow.com/b/777-6th-avenue-manhattan-ny-5Z6fsf/,-73.991354,,,,,False,,777 6th Avenue,"777 6th Ave, New York, NY"," bds,  ba , sqft",,,,40.744877,,,,,,
,https://www.zillow.com/b/50-w-34th-st-new-york-ny-9gfDJP/,-73.986255,,,,,False,,For Rent,"50 W 34th St, New York, NY"," bds,  ba , sqft",,,,40.748986,,,,,,
,https://www.zillow.com/b/beatrice-manhattan-ny-5XY24b/,-73.990264,,,,,False,,Beatrice,"105 W 29th St, New York, NY"," bds,  ba , sqft",,,,40.746899,,,,,,
-1,https://www.zillow.com/homedetails/358-W-30th-St-APT-2B-New-York-NY-10001/2086529899_zpid/,-73.997605,FOR_RENT,,,,False,10001,Apartment for rent,"358 W 30th St APT 2B, New York, NY 10001","0 bds, 1.0 ba ,None sqft",USD,,"$2,350/mo",40.750397,New York,MULTI_FAMILY,NY,0,1.0,
,https://www.zillow.com/b/315-w-29th-st-new-york-ny-26tm/,-73.996513,,,,,False,,For Rent,"315 W 29th St, New York, NY"," bds,  ba , sqft",,,,40.749621,,,,,,
-1,https://www.zillow.com/homedetails/420-W-25th-St-APT-7K-New-York-NY-10001/89335228_zpid/,-74.001715,FOR_RENT,,,,False,10001,Apartment for rent,"420 W 25th St APT 7K, New York, NY 10001","1 bds, 1.0 ba ,893 sqft",USD,,"$5,900/mo",40.748087,New York,MULTI_FAMILY,NY,1,1.0,893
,https://www.zillow.com/b/chelsea-towers-new-york-ny-27Pj/,-73.991664,,,,,False,,Chelsea Towers,"100 W 26th St, New York, NY"," bds,  ba , sqft",,,,40.744749,,,,,,
